,Id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Study Title,Conditions,Interventions,Locations,Status
0,111,0,0.0,0.0,no,5,Kashmir,Srinagar,513121
1,112,1,1.0,1.0,Combined Treatment With CO2 Laser and Isotretinoin for Acne Scars,Acne Vulgaris,"Isotretinoin and CO2 laser,Co2 laser","Tel Aviv sourasky medical center, Tel Aviv, Israel","Active, not recruiting"
2,113,2,2.0,2.0,Pharmacokinetics and Safety of ALA in Acne Vulgaris,Acne Vulgaris,"ALA 5%,ALA 10%","Huashan Hospital, Shanghai, Shanghai, China",Recruiting
3,114,3,3.0,3.0,A Study of S6G5T-3 in the Treatment of Acne Vulgaris,Acne Vulgaris,"S6G5T-3,S6G5T-8","Dermatology Consulting Services, High Point, North Carolina, United States",Completed
4,115,4,4.0,4.0,Impact of the M22-IPL Acne Filter on Acne Vulgaris,Acne,M22-IPL,"Knight Dermatology Institute, Orlando, Florida, United States",Terminated
5,116,5,5.0,5.0,Comparison of Malassezia Spp Proportions in Inflammatory and Non Inflammatory Facial Acne Vulgaris Lesions,Acne Vulgaris,Clinical and laboratory examination,"Dr. Cipto Mangunkusumo Hospital, Jakarta, Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia",Completed
6,117,6,6.0,6.0,Study Comparing Test to Aczone 7.5% and Both to a Placebo Control in the Treatment of Acne Vulgaris,Acne Vulgaris,"Dapsone gel 7.5% (Torrent Pharmaceuticals Ltd),ACZONEÂ® (dapsone) gel, 7.5% (Allergan, INC.),Placebo for Dapsone gel 7.5% (Torrent Pharmaceuticals Ltd)",,Completed
7,118,7,7.0,7.0,Study to Evaluate the Safety and Efficacy of ASC40 in Subjects With Moderate to Severe Acne Vulgaris,Acne Vulgaris,"ASC40 25mg,ASC40 50mg,ASC40 75mg,Placebo",,Not yet recruiting
8,119,8,8.0,8.0,Relationship of Whole Blood Zinc Levels to Acne Severity,Acne Vulgaris,Whole blood zinc level,"East Avenue Medical Center, Quezon CIty, Metro Manila, Philippines",Completed
9,120,9,9.0,9.0,A Study to Evaluate the Tolerance of an Acne Treatment in Sensitive Skin Subjects With Mild to Moderate Acne Vulgaris,Acne Vulgaris,Acne Mask,"Tennessee Clinical Research Center, Nashville, Tennessee, United States",Completed
